id,playoff_id,slot,round_index,sort_order,is_bronze,team1_id,team2_id,team1_score,team2_score,winner_team_id,completed_at,feeds,created_at,updated_at
1,1,r0-0,0,0,false,8,9,1,2,9,2026-03-24 17:24:45,"{""team1"":{""kind"":""seed"",""index"":3},""team2"":{""kind"":""seed"",""index"":4}}",2026-03-24 17:24:36,2026-03-24 17:24:45
2,1,r0-1,0,1,false,2,10,2,0,2,2026-03-24 17:24:50,"{""team1"":{""kind"":""seed"",""index"":2},""team2"":{""kind"":""seed"",""index"":5}}",2026-03-24 17:24:37,2026-03-24 17:24:50
3,1,r1-0,1,2,false,11,9,0,2,9,2026-03-24 17:24:57,"{""team1"":{""kind"":""seed"",""index"":0},""team2"":{""kind"":""winner_of"",""slot"":""r0-0""}}",2026-03-24 17:24:37,2026-03-24 17:24:57
4,1,r1-1,1,3,false,1,2,2,1,1,2026-03-24 17:24:53,"{""team1"":{""kind"":""seed"",""index"":1},""team2"":{""kind"":""winner_of"",""slot"":""r0-1""}}",2026-03-24 17:24:37,2026-03-24 17:24:53
5,1,r2-0,2,4,false,9,1,2,0,9,2026-03-24 17:25:03,"{""team1"":{""kind"":""winner_of"",""slot"":""r1-0""},""team2"":{""kind"":""winner_of"",""slot"":""r1-1""}}",2026-03-24 17:24:37,2026-03-24 17:25:03
6,1,bronze,3,5,true,11,2,0,2,2,2026-03-24 19:08:40,"{""team1"":{""kind"":""loser_of"",""slot"":""r1-0""},""team2"":{""kind"":""loser_of"",""slot"":""r1-1""}}",2026-03-24 17:24:37,2026-03-24 19:08:40
